variant	seed	train_virus_prior_weight	train_virus_prior_alpha	family_dropout_p	n_folds_valid	mrr	best_pos_rank	recall_at_1	recall_at_5	recall_at_10	recall_at_50	recall_at_100	recall_at_500	source_dir
baseline_no_prior	42	0.0	1.0	0.0	56	0.2921860755108046	210.66071428571428	0.17857142857142858	0.42857142857142855	0.5	0.6428571428571429	0.6785714285714286	0.8928571428571429	[release]/06_model_runs/stage3_v1.1_HumanSurfaceomePlus_v1.1_3455_accession_confirmed_nestedval_20260710_seed42
prior_w0p3	42	0.3	1.0	0.0	56	0.28834193808973174	199.32142857142858	0.17857142857142858	0.42857142857142855	0.5	0.6428571428571429	0.7142857142857143	0.875	[release]/06_model_runs/lovo56_prior_ablation_20260721/prior_w0p3_seed42
prior_w0p7	42	0.7	1.0	0.0	56	0.2671353333971324	187.26785714285714	0.14285714285714285	0.4107142857142857	0.5357142857142857	0.6607142857142857	0.7142857142857143	0.8928571428571429	[release]/06_model_runs/lovo56_prior_ablation_20260721/prior_w0p7_seed42
prior_w1p0	42	1.0	1.0	0.0	56	0.263721037545669	183.82142857142858	0.14285714285714285	0.39285714285714285	0.4642857142857143	0.6428571428571429	0.6964285714285714	0.8928571428571429	[release]/06_model_runs/lovo56_prior_ablation_20260721/prior_w1p0_seed42
prior_w0p7_drop0p3	42	0.7	1.0	0.3	56	0.2657433807917823	172.73214285714286	0.14285714285714285	0.44642857142857145	0.5357142857142857	0.6428571428571429	0.7142857142857143	0.8928571428571429	[release]/06_model_runs/lovo56_prior_ablation_20260721/prior_w0p7_drop0p3_seed42
prior_w0p7_drop0p5	42	0.7	1.0	0.5	56	0.25923271390432073	161.23214285714286	0.14285714285714285	0.4107142857142857	0.5357142857142857	0.625	0.7321428571428571	0.9107142857142857	[release]/06_model_runs/lovo56_prior_ablation_20260721/prior_w0p7_drop0p5_seed42
baseline_no_prior	43	0.0	1.0	0.0	56	0.3148682311346776	216.89285714285714	0.23214285714285715	0.4107142857142857	0.48214285714285715	0.625	0.7142857142857143	0.8928571428571429	[release]/06_model_runs/stage3_v1.1_HumanSurfaceomePlus_v1.1_3455_accession_confirmed_nestedval_20260710_seed43
baseline_no_prior	44	0.0	1.0	0.0	56	0.3096102856703358	195.46428571428572	0.21428571428571427	0.4107142857142857	0.48214285714285715	0.625	0.6964285714285714	0.8928571428571429	[release]/06_model_runs/stage3_v1.1_HumanSurfaceomePlus_v1.1_3455_accession_confirmed_nestedval_20260710_seed44
