mode	viral_id	virus_label	K	n_studies	fisher_stat	p_meta_fisher	z_meta_stouffer	p_meta_stouffer	mean_odds_ratio	fdr_bh_meta_fisher
leakage_removed	Q6Q1S2	HCoV-NL63	50	4	1.6510429144814143	0.9899069386997555	-12.23629156695537	1.0	0.9123774509803921	1.0
leakage_removed	Q6Q1S2	HCoV-NL63	100	4	0.8115366364572753	0.9991817261068132	-12.529389981859142	1.0	0.31153846153846154	1.0
leakage_removed	Q8JUX5	Chikungunya virus	10	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
leakage_removed	Q8JUX5	Chikungunya virus	20	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
leakage_removed	Q8JUX5	Chikungunya virus	50	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
leakage_removed	Q8JUX5	Chikungunya virus	100	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
raw	K9N5Q8	MERS-CoV	10	5	-0.0	1.0	-18.357080898722717	1.0	0.0	1.0
raw	K9N5Q8	MERS-CoV	20	5	-0.0	1.0	-18.357080898722717	1.0	0.0	1.0
raw	K9N5Q8	MERS-CoV	50	5	-0.0	1.0	-18.357080898722717	1.0	0.0	1.0
raw	K9N5Q8	MERS-CoV	100	5	0.3750098431077858	0.9999983473728498	-15.110660527965475	1.0	0.11379310344827587	1.0
raw	P03275	Adenovirus	10	2	-0.0	1.0	-11.610037366386907	1.0	0.0	1.0
raw	P03275	Adenovirus	20	2	-0.0	1.0	-11.610037366386907	1.0	0.0	1.0
raw	P03275	Adenovirus	50	2	-0.0	1.0	-11.610037366386907	1.0	0.0	1.0
raw	P03275	Adenovirus	100	2	-0.0	1.0	-11.610037366386907	1.0	0.0	1.0
raw	P03423	RSV	10	1	-0.0	1.0	-8.209536151601387	0.9999999999999999	0.0	1.0
raw	P03423	RSV	20	1	-0.0	1.0	-8.209536151601387	0.9999999999999999	0.0	1.0
raw	P03423	RSV	50	1	-0.0	1.0	-8.209536151601387	0.9999999999999999	0.0	1.0
raw	P03423	RSV	100	1	1.5764880836425064	0.4546424278622888	0.11394063185516991	0.45464242786228876	1.770909090909091	1.0
raw	P04578	HIV-1	10	9	-0.0	1.0	-24.628608454804155	1.0	0.0	1.0
raw	P04578	HIV-1	20	9	-0.0	1.0	-24.628608454804155	1.0	0.0	1.0
raw	P04578	HIV-1	50	9	-0.0	1.0	-24.628608454804155	1.0	0.0	1.0
raw	P04578	HIV-1	100	9	-0.0	1.0	-24.628608454804155	1.0	0.0	1.0
raw	P0C6X7	SARS-CoV	10	8	-0.0	1.0	-23.220074732773806	1.0	0.0	1.0
raw	P0C6X7	SARS-CoV	20	8	-0.0	1.0	-23.220074732773806	1.0	0.0	1.0
raw	P0C6X7	SARS-CoV	50	8	-0.0	1.0	-23.220074732773806	1.0	0.0	1.0
raw	P0C6X7	SARS-CoV	100	8	-0.0	1.0	-23.220074732773806	1.0	0.0	1.0
raw	P0DTC2	SARS-CoV-2	10	63	21.407796548698656	1.0	-59.24334344397045	1.0	1.0375783066764444	1.0
raw	P0DTC2	SARS-CoV-2	20	63	19.9357022703932	1.0	-58.334201526700255	1.0	0.5298895525947582	1.0
raw	P0DTC2	SARS-CoV-2	50	63	34.10015151957593	1.0	-50.92461307402242	1.0	1.7290484504717072	1.0
raw	P0DTC2	SARS-CoV-2	100	63	34.87496448668273	1.0	-47.135172587291066	1.0	1.4842844711400978	1.0
raw	P15423	HCoV-229E	10	10	74.35667669447996	3.4863767595571135e-08	0.437968497563888	0.3307045599449583	inf	1.812915914969699e-06
raw	P15423	HCoV-229E	20	10	71.32954269103358	1.1032776963753694e-07	0.2664882639025097	0.39493159838817726	inf	2.8685220105759605e-06
raw	P15423	HCoV-229E	50	10	52.97522889942717	8.195693956855347e-05	-0.7707627037068188	0.7795762011418215	inf	0.0014205869525215934
raw	P15423	HCoV-229E	100	10	35.320945034039404	0.018460063610080048	-2.3686424995172892	0.991073249338922	inf	0.23998082693104061
raw	P26664	HCV	10	3	-0.0	1.0	-14.219333721147077	1.0	0.0	1.0
raw	P26664	HCV	20	3	-0.0	1.0	-14.219333721147077	1.0	0.0	1.0
raw	P26664	HCV	50	3	1.3281242374476192	0.9700842772612044	-9.500915723913984	1.0	0.4794433902593295	1.0
raw	P26664	HCV	100	3	0.5958473097831221	0.9964693188406419	-9.855198458843924	1.0	0.24966397849462366	1.0
raw	P29991	Dengue	10	9	-0.0	1.0	-24.628608454804155	1.0	0.0	1.0
raw	P29991	Dengue	20	9	-0.0	1.0	-24.628608454804155	1.0	0.0	1.0
raw	P29991	Dengue	50	9	3.216941575990808	0.9999527711599037	-21.611786336546157	1.0	0.6457264957264958	1.0
raw	P29991	Dengue	100	9	5.427534114965147	0.9980206820964677	-21.390752576506983	1.0	0.41291585127201563	1.0
raw	Q05320	Ebola	10	6	11.148106735962834	0.5162704125002824	-15.667713041413913	1.0	inf	1.0
raw	Q05320	Ebola	20	6	9.453511015188427	0.6637837351976381	-15.78943581637111	1.0	inf	1.0
raw	Q05320	Ebola	50	6	7.620929551440117	0.8140079290669027	-15.936466071445409	1.0	inf	1.0
raw	Q05320	Ebola	100	6	6.545172532600618	0.8861509504428746	-13.242089218849504	1.0	inf	1.0
raw	Q32ZE1	Zika	10	6	4.519823098132848	0.9721295935019595	-13.031192507434112	1.0	1.4694194694194693	1.0
raw	Q32ZE1	Zika	20	6	2.4453396428948677	0.9983530272251123	-13.493535711166368	1.0	0.6747195112579728	1.0
