viral_id	virus_label	K	n_studies_raw	n_studies_leakage_removed	overlap_total_raw	overlap_total_leakage_removed	overlap_drop_abs	overlap_drop_ratio	overlap_retain_ratio	p_meta_fisher_raw	p_meta_fisher_leakage_removed	p_meta_ratio_leak_over_raw	fdr_meta_fisher_raw	fdr_meta_fisher_leakage_removed	p_min_raw	p_min_leakage_removed	fdr_min_raw	fdr_min_leakage_removed	sig_rows_raw	sig_rows_leakage_removed	meta_sig_raw_fdr05	meta_sig_leakage_removed_fdr05
P29991	Dengue	20	9	9	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P29991	Dengue	50	9	9	2.0	2.0	0.0	0.0	1.0	0.9999527711599037	0.9999527711599037	1.0	1.0	1.0	0.20019351845086722	0.20019351845086722	1.0	1.0	0	0	0	0
P29991	Dengue	100	9	9	4.0	4.0	0.0	0.0	1.0	0.9980206820964677	0.9980206820964677	1.0	1.0	1.0	0.06628663024982573	0.06628663024982573	0.5965796722484316	0.5965796722484316	0	0	0	0
Q05320	Ebola	10	6	6	1.0	1.0	0.0	0.0	1.0	0.5162704125002824	0.5162704125002824	1.0	1.0	1.0	0.0037950664136622387	0.0037950664136622387	0.02277039848197343	0.02277039848197343	1	1	0	0
Q05320	Ebola	20	6	6	1.0	1.0	0.0	0.0	1.0	0.6637837351976381	0.6637837351976381	1.0	1.0	1.0	0.00885515496521189	0.00885515496521189	0.05313092979127134	0.05313092979127134	0	0	0	0
Q05320	Ebola	50	6	6	2.0	1.0	1.0	0.5	0.5	0.8140079290669027	0.8140079290669027	1.0	1.0	1.0	0.022137887413029727	0.022137887413029727	0.13282732447817835	0.13282732447817835	0	0	0	0
Q05320	Ebola	100	6	6	3.0	2.0	1.0	0.3333333333333333	0.6666666666666666	0.8861509504428746	0.8861509504428746	1.0	1.0	1.0	0.04174573055028463	0.04174573055028463	0.2504743833017078	0.2504743833017078	0	0	0	0
Q32ZE1	Zika	10	6	6	2.0	1.0	1.0	0.5	0.5	0.9721295935019595	0.9989173542636681	1.027555750736082	1.0	1.0	0.32132211545671835	0.32478223577121434	0.974346707313643	1.0	0	0	0	0
Q32ZE1	Zika	20	6	6	2.0	1.0	1.0	0.5	0.5	0.9983530272251123	0.9999585839541719	1.0016082053995692	1.0	1.0	0.5402873252193383	0.5449748543139703	1.0	1.0	0	0	0	0
Q32ZE1	Zika	50	6	6	6.0	4.0	2.0	0.3333333333333333	0.6666666666666666	0.9957086956486426	0.9987834934056237	1.003088049517312	1.0	1.0	0.3577991754715852	0.3577991754715852	1.0	1.0	0	0	0	0
Q32ZE1	Zika	100	6	6	9.0	7.0	2.0	0.2222222222222222	0.7777777777777778	0.9972319061641584	0.9986630266384905	1.0014350929462705	1.0	1.0	0.3431325058816919	0.3431325058816919	1.0	1.0	0	0	0	0
Q6Q1S2	HCoV-NL63	10	4	4	6.0	6.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
Q6Q1S2	HCoV-NL63	20	4	4	11.0	11.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
Q6Q1S2	HCoV-NL63	50	4	4	36.0	36.0	0.0	0.0	1.0	0.9899069386997555	0.9899069386997555	1.0	1.0	1.0	0.4380065312265575	0.4380065312265575	1.0	1.0	0	0	0	0
Q6Q1S2	HCoV-NL63	100	4	4	68.0	68.0	0.0	0.0	1.0	0.9991817261068132	0.9991817261068132	1.0	1.0	1.0	0.6664645572287131	0.6664645572287131	1.0	1.0	0	0	0	0
Q8JUX5	Chikungunya virus	10	1	1	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
Q8JUX5	Chikungunya virus	20	1	1	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
Q8JUX5	Chikungunya virus	50	1	1	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
Q8JUX5	Chikungunya virus	100	1	1	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
